,Year,Comm. Code,Weight (kg),Quantity
8737,2021,291242,227782.056,227782.056
8739,2021,291249,3755091.775,3755091.775
8741,2021,291250,1796066.692,1796066.692
8743,2021,291260,,
8745,2021,291300,5787814.317,5787814.317
8747,2021,291411,622557727.223,622557727.223
8749,2021,291412,1184058.284,1184058.284
8751,2021,291413,21789370.395,21789370.395
8753,2021,291419,8589419.527,8589419.527
8755,2021,291422,,
8757,2021,291423,2552705.841,2552705.841
8759,2021,291429,11945873.95,11945873.95
8761,2021,291439,376467.703,376467.703
8763,2021,291440,6151364.197,6151364.197
8765,2021,291450,1125616.068,1125616.068
8767,2021,291461,1392650.402,1392650.402
8770,2021,291462,8632.203,8632.203
8771,2021,291469,2485772.311,2485772.311
8773,2021,291479,298623.147,298623.147
8775,2021,291511,30296.302,30296.302
8777,2021,291512,3393618.811,3393618.811
8779,2021,291513,192910.58,192910.58
8782,2021,291521,1786728.516,1786728.516
8783,2021,291524,999769.0,999769.0
8785,2021,291529,,
8787,2021,291531,,
8789,2021,291532,287295279.501,287295279.501
8791,2021,291533,6996872.136,6996872.136
8793,2021,291539,19916118.767,19916118.767
8796,2021,291540,3702599.387,3702599.387
8797,2021,291550,19540347.565,19540347.565
8799,2021,291560,21606611.346,21606611.346
8801,2021,291570,,
8803,2021,291590,225567335.791,225567335.791
8805,2021,291611,37077877.823,37077877.823
8807,2021,291612,,
8809,2021,291613,8335046.129,8335046.129
8811,2021,291614,,
8814,2021,291615,4441920.386,4441920.386
8815,2021,291619,1882884.184,1882884.184
8817,2021,291620,1596204.267,1596204.267
8819,2021,291631,,
8821,2021,291632,1458462.697,1458462.697
8823,2021,291634,4181.676,4181.676
8825,2021,291639,371344.596,371344.596
8827,2021,291711,454595.394,454595.394
8829,2021,291712,12691202.506,12691202.506
8831,2021,291713,1055559.398,1055559.398
8833,2021,291714,678027.195,678027.195
8835,2021,291719,3974896.762,3974896.762
8837,2021,291720,28163661.059,28163661.059
8839,2021,291732,38147649.289,38147649.289
8841,2021,291733,23531075.23,23531075.23
8843,2021,291734,4698588.621,4698588.621
8845,2021,291735,,
8848,2021,291736,78902644.955,78902644.955
8849,2021,291737,29626093.852,29626093.852
8851,2021,291739,325338399.644,325338399.644
8853,2021,291811,14885263.387,14885263.387
8855,2021,291812,119685.342,119685.342
8857,2021,291813,398261.707,398261.707
8859,2021,291814,1353637.269,1353637.269
8861,2021,291815,1598738.845,1598738.845
8863,2021,291816,1004187.867,1004187.867
8866,2021,291819,6140062.094,6140062.094
8868,2021,291821,98285.487,98285.487
8870,2021,291822,4867.171,4867.171
8872,2021,291823,339397.265,339397.265
8874,2021,291829,26145073.633,26145073.633
